Name,File_Num,LOC,Struct_Num,Union_Num,Enum_Num,Func_Num
binn,14,7759,221,72,18,5901
cflow,114,31993,1333,378,215,15648
compton,11,14605,2370,123,238,16386
cpio-2.14,372,96748,3396,1270,588,36871
enscript-1.6.1,72,30372,1453,392,202,8919
findutils-4.9.0,881,181397,11798,4278,2031,129897
gawk-5.2.2,142,81972,2972,649,974,46061
glpk-5.0,296,118254,2620,419,135,26669
grep-3.11,681,156573,8608,3188,1422,89290
gsl-2.7.1,1995,333813,12972,6410,1241,240169
gzip-1.12,263,71942,2452,884,429,37262
hiredis,52,11810,1973,391,308,17502
libtree,4,1592,41,9,7,468
libzahl,52,63754,963,396,344,76305
make-4.4.1,88,40727,3051,459,742,31181
minilisp,1,883,27,9,4,380
mtools-4.0.45,112,24354,6145,833,1411,101049
nettle-3.10,666,92320,11278,3275,840,148050
pth-2.0.7,42,11505,3588,379,1076,25812
rcs-5.10.0,295,78660,3837,1078,692,44146
sed-4.9,536,123637,7177,2604,1171,71294
tar-1.34,515,133883,5153,1826,1182,61416
twemproxy,79,31872,3526,434,1063,29347
webdis,98,21707,4565,678,944,39665
wget-1.21.4,611,181588,8321,2557,1690,87444
