Unnamed: 0,C2Rust,Unnamed: 2,Unnamed: 3,Our work,Unnamed: 5,Unnamed: 6,deepseek from C,Unnamed: 8,Unnamed: 9,deepseek from C2Rust,Unnamed: 11,Unnamed: 12
Name,ULOC,LOC,R,ULOC,LOC,R,ULOC,LOC,R,ULOC,LOC,R
binn,4417,4540,97.29%,4186,4292,97.53%,21,218,9.63%,34,483,7.04%
cflow,14903,22574,66.02%,13865,24498,56.60%,566,7321,7.73%,705,5726,12.31%
compton,18117,23899,75.81%,17003,25487,66.71%,32,649,4.93%,131,750,17.47%
cpio-2.14,72324,83610,86.50%,67043,81480,82.28%,881,14137,6.23%,806,9561,8.43%
enscript-1.6.1,39312,74248,52.95%,36921,73812,50.02%,168,7144,2.35%,490,6280,7.80%
findutils-4.9.0,122874,146090,84.11%,110885,146833,75.52%,948,20782,4.56%,1210,14871,8.14%
gawk-5.2.2,120027,158177,75.88%,97975,178370,54.93%,1029,11169,9.21%,1490,8716,17.09%
glpk-5.0,132625,163770,80.98%,122695,154724,79.30%,2727,48401,5.63%,5511,38864,14.18%
grep-3.11,0,0,,57706,81923,70.44%,796,14128,5.63%,1155,10127,11.41%
gsl-2.7.1,363559,468104,77.67%,259356,343736,75.45%,2155,91259,2.36%,4110,111239,3.69%
gzip-1.12,19000,22738,83.56%,15531,20368,76.25%,355,7971,4.45%,272,5645,4.82%
hiredis,12904,15178,85.02%,12693,15702,80.84%,262,2213,11.84%,298,1065,27.98%
libtree,2239,2632,85.07%,2226,2795,79.64%,0,514,0.00%,8,300,2.67%
libzahl,11792,13180,89.47%,10159,12966,78.35%,90,2822,3.19%,482,5235,9.21%
make-4.4.1,31613,40174,78.69%,25431,44483,57.17%,550,7745,7.10%,595,6219,9.57%
minilisp,1906,2135,89.27%,1742,2147,81.14%,0,563,0.00%,96,202,47.52%
mtools-4.0.45,29446,45968,64.06%,26709,44905,59.48%,473,14534,3.25%,744,12745,5.84%
nettle-3.10,56676,91202,62.14%,50574,87553,57.76%,219,26126,0.84%,2710,26311,10.30%
pth-2.0.7,10318,16588,62.20%,9621,19630,49.01%,644,6298,10.23%,492,4158,11.83%
rcs-5.10.0,22940,37620,60.98%,20805,43174,48.19%,837,13314,6.29%,1215,9821,12.37%
sed-4.9,64739,70487,91.85%,50904,66599,76.43%,782,10482,7.46%,428,5332,8.03%
tar-1.34,115346,142359,81.02%,107825,149888,71.94%,1295,23887,5.42%,1759,17974,9.79%
twemproxy,61786,90516,68.26%,57457,98810,58.15%,888,13581,6.54%,665,12122,5.49%
webdis,0,0,,14191,23921,59.32%,127,309,41.10%,146,217,67.28%
wget-1.21.4,133066,211136,63.02%,118715,214888,55.25%,1177,26565,4.43%,1589,17129,9.28%
